scenario,trial,seed,expect_drift,kind,input_drift_detected,n_drifted_features,n_schema_failures,max_psi,mean_psi,detection_seconds,prediction_drift_detected,prediction_shape_drift,prediction_level_drift,prediction_psi,prediction_mean,prediction_mean_shift,roc_auc,pr_auc,accuracy,scorable
covariate_shift,1,10001,True,covariate,True,2,0,2.961454,0.329565,0.093973,True,False,True,0.077442,0.320275,0.32397,0.919104,0.84382,0.847,True
covariate_shift,2,10002,True,covariate,True,2,0,3.218123,0.346446,0.095254,True,False,True,0.093165,0.31486,0.301585,0.908792,0.824561,0.828,True
covariate_shift,3,10003,True,covariate,True,2,0,3.228139,0.356914,0.115046,True,False,True,0.116988,0.322295,0.332321,0.890098,0.803174,0.811,True
covariate_shift,4,10004,True,covariate,True,2,0,3.068472,0.333356,0.113479,True,False,True,0.102068,0.315988,0.306246,0.902638,0.830131,0.814,True
covariate_shift,5,10005,True,covariate,True,2,0,2.868971,0.334221,0.315923,True,False,True,0.083368,0.311953,0.289565,0.894162,0.799059,0.8305,True
covariate_shift,6,10006,True,covariate,True,2,0,3.066529,0.346938,0.16939,True,False,True,0.132909,0.335601,0.387325,0.92442,0.865009,0.8495,True
covariate_shift,7,10007,True,covariate,True,2,0,3.262741,0.359322,0.138076,True,False,True,0.102963,0.311962,0.289606,0.894117,0.80487,0.812,True
covariate_shift,8,10008,True,covariate,True,2,0,3.174766,0.360805,0.098296,True,False,True,0.102171,0.334474,0.382665,0.93073,0.874413,0.8675,True
covariate_shift,9,10009,True,covariate,True,2,0,3.100675,0.346031,0.086892,False,False,False,0.082585,0.29982,0.23941,0.902231,0.812043,0.8405,True
covariate_shift,10,10010,True,covariate,True,2,0,2.88827,0.321631,0.096047,False,False,False,0.0646,0.292983,0.211149,0.880186,0.759552,0.8195,True
covariate_shift,11,10011,True,covariate,True,2,0,3.151413,0.355687,0.078395,True,False,True,0.109277,0.32911,0.360491,0.904144,0.82909,0.832,True
covariate_shift,12,10012,True,covariate,True,2,0,3.176424,0.338068,0.0833,False,False,False,0.063444,0.301734,0.247325,0.906858,0.81482,0.8475,True
covariate_shift,13,10013,True,covariate,True,2,0,3.058554,0.339238,0.115705,False,False,False,0.055749,0.298113,0.232356,0.913002,0.837662,0.8415,True
covariate_shift,14,10014,True,covariate,True,2,0,2.813469,0.320671,0.090553,True,False,True,0.115762,0.322109,0.331551,0.888753,0.796925,0.825,True
covariate_shift,15,10015,True,covariate,True,2,0,3.184852,0.3577,0.087008,True,False,True,0.111274,0.32328,0.336391,0.900729,0.787741,0.825,True
covariate_shift,16,10016,True,covariate,True,2,0,3.012471,0.319747,0.082236,True,False,True,0.071164,0.307948,0.27301,0.922699,0.828576,0.848,True
covariate_shift,17,10017,True,covariate,True,2,0,2.949221,0.35026,0.082798,True,False,True,0.101598,0.326688,0.350479,0.887987,0.784038,0.8085,True
covariate_shift,18,10018,True,covariate,True,2,0,3.213841,0.372134,0.09024,True,False,True,0.108351,0.3292,0.360862,0.916489,0.850936,0.846,True
covariate_shift,19,10019,True,covariate,True,2,0,2.987193,0.339663,0.08461,True,False,True,0.086601,0.30421,0.257557,0.897251,0.787082,0.828,True
covariate_shift,20,10020,True,covariate,True,2,0,2.966155,0.329689,0.098051,True,False,True,0.073638,0.315181,0.302909,0.927166,0.856623,0.8515,True
covariate_shift,21,10021,True,covariate,True,2,0,3.056293,0.343994,0.079267,True,False,True,0.10843,0.329134,0.360592,0.914597,0.832573,0.836,True
covariate_shift,22,10022,True,covariate,True,2,0,3.043708,0.367888,0.089771,True,False,True,0.121597,0.32646,0.349536,0.91387,0.847937,0.8445,True
covariate_shift,23,10023,True,covariate,True,2,0,2.952728,0.336865,0.099623,True,False,True,0.086819,0.315427,0.303928,0.9068,0.809093,0.859,True
covariate_shift,24,10024,True,covariate,True,2,0,3.143349,0.338778,0.080481,True,False,True,0.055253,0.30324,0.253548,0.908663,0.814381,0.8325,True
covariate_shift,25,10025,True,covariate,True,2,0,2.946819,0.329081,0.102366,True,False,True,0.12116,0.336956,0.392925,0.904646,0.840562,0.824,True
covariate_shift,26,10026,True,covariate,True,2,0,3.206806,0.36454,0.098803,True,False,True,0.081496,0.314129,0.298562,0.904932,0.830086,0.8365,True
covariate_shift,27,10027,True,covariate,True,2,0,2.787125,0.312368,0.09602,False,False,False,0.07776,0.299827,0.239439,0.919786,0.815644,0.848,True
covariate_shift,28,10028,True,covariate,True,2,0,3.122117,0.354843,0.102323,True,False,True,0.147506,0.324622,0.34194,0.913547,0.825345,0.849,True
covariate_shift,29,10029,True,covariate,True,2,0,2.774581,0.338656,0.106318,True,False,True,0.075336,0.307129,0.269627,0.908125,0.816135,0.837,True
prior_shift,0,10000,True,prior,False,0,0,0.104063,0.043182,0.13023,True,False,True,0.148426,0.37019,0.530311,0.933813,0.934621,0.8075,True
prior_shift,1,10001,True,prior,False,0,0,0.101669,0.042961,0.112308,True,False,True,0.144134,0.363903,0.504322,0.926271,0.926206,0.79,True
prior_shift,2,10002,True,prior,False,0,0,0.109306,0.05053,0.116352,True,False,True,0.165389,0.373334,0.543307,0.925143,0.921788,0.791,True
prior_shift,3,10003,True,prior,False,0,0,0.096104,0.05005,0.147999,True,False,True,0.16945,0.374156,0.546703,0.922787,0.922874,0.8095,True
prior_shift,4,10004,True,prior,False,0,0,0.101111,0.043243,0.137497,True,False,True,0.129943,0.356992,0.475753,0.935667,0.93435,0.798,True
prior_shift,5,10005,True,prior,False,0,0,0.076933,0.044829,0.150458,True,False,True,0.172611,0.376859,0.557878,0.928782,0.929797,0.7945,True
prior_shift,6,10006,True,prior,False,0,0,0.103792,0.04259,0.13945,True,False,True,0.149719,0.366856,0.516528,0.924465,0.924145,0.7945,True
prior_shift,7,10007,True,prior,False,0,0,0.118208,0.045951,0.124553,True,False,True,0.160092,0.369591,0.527834,0.916961,0.91892,0.798,True
prior_shift,8,10008,True,prior,False,0,0,0.084378,0.045227,0.177675,True,False,True,0.155893,0.372254,0.538843,0.93396,0.93559,0.796,True
prior_shift,9,10009,True,prior,False,0,0,0.127695,0.04668,0.136299,True,False,True,0.145498,0.363476,0.502555,0.926957,0.926874,0.8015,True
prior_shift,10,10010,True,prior,False,0,0,0.088821,0.048316,0.148238,True,False,True,0.135932,0.366575,0.515367,0.912938,0.911971,0.7775,True
prior_shift,11,10011,True,prior,False,0,0,0.143044,0.049923,0.524946,True,False,True,0.166781,0.378235,0.563569,0.93802,0.937908,0.812,True
prior_shift,12,10012,True,prior,False,0,0,0.096678,0.044613,0.25895,True,False,True,0.143858,0.367183,0.517881,0.92193,0.924048,0.7965,True
